link_text,href,link_type,section_title
Tag,#Tag,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
(empty),#troubleshooting,internal_anchor,Unknown
(empty),#diagnose,internal_anchor,Unknown
(empty),#errors-when-parsing-a-document,internal_anchor,Unknown
Installing a parser,#installing-a-parser,internal_anchor,Unknown
(empty),#version-mismatch-problems,internal_anchor,Unknown
(empty),#parsing-xml,internal_anchor,Unknown
have lxml installed,#parser-installation,internal_anchor,Unknown
(empty),#other-parser-problems,internal_anchor,Unknown
Differences between parsers,#differences-between-parsers,internal_anchor,Unknown
HTML tags and attributes are case-insensitive,http://www.w3.org/TR/html5/syntax.html#syntax,external_link,Unknown
parse the document as XML.,#parsing-xml,internal_anchor,Unknown
(empty),#miscellaneous,internal_anchor,Unknown
this page on the Python wiki,http://wiki.python.org/moin/PrintFails,external_link,Unknown
(empty),#improving-performance,internal_anchor,Unknown
lxml,http://lxml.de/,external_link,Unknown
start,#parser-installation,internal_anchor,Unknown
cchardet,http://pypi.python.org/pypi/cchardet/,external_link,Unknown
Parsing only part of a document,#parsing-only-part-of-a-document,internal_anchor,Unknown
(empty),#translating-this-documentation,internal_anchor,Unknown
(empty),#id16,internal_anchor,Unknown
"a tarball of the final release, 3.2.2",https://www.crummy.com/software/BeautifulSoup/download/3.x/BeautifulSoup-3.2.2.tar.gz,documentation_link,Unknown
The documentation for Beautiful Soup 3 is archived online,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Unknown
(empty),#porting-code-to-bs4,internal_anchor,Unknown
PEP 8 compliance,http://www.python.org/dev/peps/pep-0008/,external_link,Unknown
(empty),#you-need-a-parser,internal_anchor,Unknown
Installing a parser,#installing-a-parser,internal_anchor,Unknown
(empty),#property-names,internal_anchor,Unknown
(empty),#generators,internal_anchor,Unknown
(empty),#xml,internal_anchor,Unknown
(empty),#entities,internal_anchor,Unknown
"Unicode, Dammit",#unicode-dammit,internal_anchor,Unknown
output formatter,#output-formatters,internal_anchor,Unknown
(empty),#id17,internal_anchor,Unknown
Tag.string,#string,internal_anchor,Unknown
Multi-valued attributes,#multi-valued-attributes,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
string,#id11,internal_anchor,Unknown
name,#name,internal_anchor,Unknown
Tag.string,#string,internal_anchor,Unknown
string,#id11,internal_anchor,Unknown
Table of Contents,#,empty_or_invalid,Unknown
Beautiful Soup Documentation,#,empty_or_invalid,Unknown
Getting help,#getting-help,internal_anchor,Unknown
API documentation,#api-documentation,internal_anchor,Unknown
Quick Start,#quick-start,internal_anchor,Unknown
Installing Beautiful Soup,#installing-beautiful-soup,internal_anchor,Unknown
Installing a parser,#installing-a-parser,internal_anchor,Unknown
Making the soup,#making-the-soup,internal_anchor,Unknown
Kinds of objects,#kinds-of-objects,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
Tag.name,#Tag.name,internal_anchor,Unknown
Tag.attrs,#Tag.attrs,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
Special strings,#special-strings,internal_anchor,Unknown
Comment,#Comment,internal_anchor,Unknown
For HTML documents,#for-html-documents,internal_anchor,Unknown
Stylesheet,#Stylesheet,internal_anchor,Unknown
Script,#Script,internal_anchor,Unknown
Template,#Template,internal_anchor,Unknown
For XML documents,#for-xml-documents,internal_anchor,Unknown
Declaration,#Declaration,internal_anchor,Unknown
Doctype,#Doctype,internal_anchor,Unknown
CData,#CData,internal_anchor,Unknown
ProcessingInstruction,#ProcessingInstruction,internal_anchor,Unknown
Navigating the tree,#navigating-the-tree,internal_anchor,Unknown
Going down,#going-down,internal_anchor,Unknown
Navigating using tag names,#navigating-using-tag-names,internal_anchor,Unknown
.contents and .children,#contents-and-children,internal_anchor,Unknown
.descendants,#descendants,internal_anchor,Unknown
.string,#string,internal_anchor,Unknown
.strings and stripped_strings,#strings-and-stripped-strings,internal_anchor,Unknown
