link_text,href,link_type,section_title,absolute_href
The keyword arguments,#kwargs,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#kwargs
¶,#going-back-and-forth,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#going-back-and-forth
¶,#next-element-and-previous-element,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#next-element-and-previous-element
¶,#next-elements-and-previous-elements,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#next-elements-and-previous-elements
¶,#navigating-using-tag-names,internal_anchor,Going down ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#navigating-using-tag-names
Searching the tree,#searching-the-tree,internal_anchor,Going down ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#searching-the-tree
¶,#contents-and-children,internal_anchor,Going down ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#contents-and-children
Modifying the tree,#modifying-the-tree,internal_anchor,Going down ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#modifying-the-tree
¶,#descendants,internal_anchor,Going down ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#descendants
¶,#string,internal_anchor,Going down ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#string
NavigableString,#NavigableString,internal_anchor,Going down ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
¶,#strings-and-stripped-strings,internal_anchor,Going down ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#strings-and-stripped-strings
Searching the tree,#searching-the-tree,internal_anchor,Navigating using tag names ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#searching-the-tree
Modifying the tree,#modifying-the-tree,internal_anchor,.contents and .children ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#modifying-the-tree
NavigableString,#NavigableString,internal_anchor,.string ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
¶,#parent,internal_anchor,Going up ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#parent
¶,#parents,internal_anchor,Going up ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#parents
¶,#self-and-parents,internal_anchor,Going up ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#self-and-parents
