example_id,section_title,code_text,line_count,contains_find_all,contains_find,contains_select,contains_get_text,contains_requests
106,Kinds of objects ,Comment,1,False,False,False,False,False
107,Kinds of objects ,NavigableString,1,False,False,False,False,False
108,Kinds of objects ,NavigableString,1,False,False,False,False,False
109,Kinds of objects ,NavigableString,1,False,False,False,False,False
110,Kinds of objects ,NavigableString,1,False,False,False,False,False
111,Kinds of objects ,NavigableString,1,False,False,False,False,False
112,Multi-valued attributes ,class,1,False,False,False,False,False
113,Multi-valued attributes ,rel,1,False,False,False,False,False
114,Multi-valued attributes ,rev,1,False,False,False,False,False
115,Multi-valued attributes ,accept-charset,1,False,False,False,False,False
116,Multi-valued attributes ,headers,1,False,False,False,False,False
117,Multi-valued attributes ,accesskey,1,False,False,False,False,False
118,Multi-valued attributes ,"css_soup
=
BeautifulSoup
(
'<p class=""body""></p>'
,
'html.parser'
)
css_soup
.
p
[
'class'
]
# ['body']
css_soup
=
BeautifulSoup
(
'<p class=""body strikeout""></p>'
,
'html.parser'
)
css_soup
.
p
[
'class'
]
# ['body', 'strikeout']",30,False,False,False,False,False
119,Multi-valued attributes ,"rel_soup
=
BeautifulSoup
(
'<p>Back to the <a rel=""index first"">homepage</a></p>'
,
'html.parser'
)
rel_soup
.
a
[
'rel'
]
# ['index', 'first']
rel_soup
.
a
[
'rel'
]
=
[
'index'
,
'contents'
]
print
(
rel_soup
.
p
)
# <p>Back to the <a rel=""index contents"">homepage</a></p>",34,False,False,False,False,False
120,Multi-valued attributes ,"id_soup
=
BeautifulSoup
(
'<p id=""my id""></p>'
,
'html.parser'
)
id_soup
.
p
[
'id'
]
# 'my id'",15,False,False,False,False,False
121,Multi-valued attributes ,multi_valued_attributes=None,1,False,False,False,False,False
122,Multi-valued attributes ,BeautifulSoup,1,False,False,False,False,False
123,Multi-valued attributes ,"no_list_soup
=
BeautifulSoup
(
'<p class=""body strikeout""></p>'
,
'html.parser'
,
multi_valued_attributes
=
None
)
no_list_soup
.
p
[
'class'
]
# 'body strikeout'",19,False,False,False,False,False
124,Multi-valued attributes ,get_attribute_list,1,False,False,False,False,False
125,Multi-valued attributes ,"id_soup
.
p
[
'id'
]
# 'my id'
id_soup
.
p
.
get_attribute_list
(
'id'
)
# [""my id""]",16,False,False,False,False,False
126,Multi-valued attributes ,"xml_soup
=
BeautifulSoup
(
'<p class=""body strikeout""></p>'
,
'xml'
)
xml_soup
.
p
[
'class'
]
# 'body strikeout'",15,False,False,False,False,False
127,Multi-valued attributes ,multi_valued_attributes,1,False,False,False,False,False
128,Multi-valued attributes ,"class_is_multi
=
{
'*'
:
'class'
}
xml_soup
=
BeautifulSoup
(
'<p class=""body strikeout""></p>'
,
'xml'
,
multi_valued_attributes
=
class_is_multi
)
xml_soup
.
p
[
'class'
]
# ['body', 'strikeout']",26,False,False,False,False,False
129,Multi-valued attributes ,"from
bs4.builder
import
builder_registry
builder_registry
.
lookup
(
'html'
)
.
DEFAULT_CDATA_LIST_ATTRIBUTES",12,False,False,False,False,False
130,Special strings ,Tag,1,False,False,False,False,False
131,Special strings ,NavigableString,1,False,False,False,False,False
132,Special strings ,BeautifulSoup,1,False,False,False,False,False
133,Special strings ,Comment,1,False,False,False,False,False
134,Special strings ,"markup
=
""<b><!--Hey, buddy. Want to buy a used parser?--></b>""
soup
=
BeautifulSoup
(
markup
,
'html.parser'
)
comment
=
soup
.
b
.
string
type
(
comment
)
# <class 'bs4.element.Comment'>",23,False,False,False,False,False
135,Special strings ,Comment,1,False,False,False,False,False
136,Special strings ,NavigableString,1,False,False,False,False,False
137,Special strings ,"comment
# 'Hey, buddy. Want to buy a used parser'",2,False,False,False,False,False
138,Special strings ,Comment,1,False,False,False,False,False
139,Special strings ,"print
(
soup
.
b
.
prettify
())
# <b>
#  <!--Hey, buddy. Want to buy a used parser?-->
# </b>",11,False,False,False,False,False
140,Special strings ,NavigableString,1,False,False,False,False,False
141,Special strings ,NavigableString,1,False,False,False,False,False
142,Special strings ,<style>,1,False,False,False,False,False
143,Special strings ,NavigableString,1,False,False,False,False,False
144,Special strings ,<script>,1,False,False,False,False,False
145,Special strings ,NavigableString,1,False,False,False,False,False
146,Special strings ,<template>,1,False,False,False,False,False
147,Special strings ,NavigableString,1,False,False,False,False,False
148,Special strings ,Comment,1,False,False,False,False,False
149,Special strings ,NavigableString,1,False,False,False,False,False
150,Special strings ,NavigableString,1,False,False,False,False,False
151,Special strings ,NavigableString,1,False,False,False,False,False
152,Special strings ,NavigableString,1,False,False,False,False,False
153,Special strings ,NavigableString,1,False,False,False,False,False
154,For HTML documents ,NavigableString,1,False,False,False,False,False
155,For HTML documents ,NavigableString,1,False,False,False,False,False
156,For HTML documents ,<style>,1,False,False,False,False,False
157,For HTML documents ,NavigableString,1,False,False,False,False,False
158,For HTML documents ,<script>,1,False,False,False,False,False
159,For HTML documents ,NavigableString,1,False,False,False,False,False
160,For HTML documents ,<template>,1,False,False,False,False,False
161,For XML documents ,NavigableString,1,False,False,False,False,False
162,For XML documents ,Comment,1,False,False,False,False,False
163,For XML documents ,NavigableString,1,False,False,False,False,False
164,For XML documents ,NavigableString,1,False,False,False,False,False
165,For XML documents ,NavigableString,1,False,False,False,False,False
166,For XML documents ,NavigableString,1,False,False,False,False,False
167,For XML documents ,NavigableString,1,False,False,False,False,False
